ID,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
1,Martin,727.0,Spain,Male,38.0,2,62276.99,1,Yes,Yes,59280.79,No,4,DIAMOND,757,0
2,Chinweuba,529.0,France,Female,29.0,8,0.0,2,Yes,,19842.11,No,3,SILVER,476,0
3,Clapp,589.0,France,Female,50.0,4,0.0,2,No,Yes,182076.97,No,4,PLATINUM,441,0
4,Boni,515.0,France,Male,40.0,0,109542.29,1,Yes,Yes,166370.81,No,5,GOLD,312,0
5,Jamieson,528.0,Spain,Male,43.0,7,97473.87,2,Yes,Yes,159823.16,No,3,PLATINUM,654,0
6,Niu,684.0,Spain,Female,38.0,3,134168.5,3,Yes,No,3966.5,Yes,5,DIAMOND,888,1
7,Foley,659.0,Spain,Male,,3,107594.11,2,Yes,Yes,102416.84,No,3,DIAMOND,683,0
8,Khan,645.0,France,Male,39.0,8,0.0,2,No,No,96864.36,No,5,SILVER,287,0
9,Iweobiegbunam,610.0,Germany,Female,69.0,5,86038.21,3,No,No,192743.06,Yes,1,DIAMOND,613,1
10,Hsiung,488.0,Germany,Female,33.0,4,140002.35,1,Yes,No,123613.81,No,1,GOLD,935,0
11,Y?,819.0,Spain,,28.0,8,168253.21,1,Yes,Yes,102799.14,No,4,PLATINUM,230,0
12,Dilke,627.0,France,Male,41.0,3,0.0,2,Yes,No,132719.8,No,2,DIAMOND,902,0
13,Souter,669.0,France,Female,35.0,7,0.0,1,Yes,Yes,49108.23,Yes,1,SILVER,335,1
14,Ferri,657.0,Spain,Female,41.0,6,112119.48,1,Yes,No,17536.82,No,1,PLATINUM,476,0
15,Maslova,670.0,Germany,Female,32.0,4,102954.68,2,No,Yes,134942.45,No,5,SILVER,244,0
16,Warren,748.0,Germany,Female,31.0,1,99557.94,1,Yes,No,199255.32,No,1,DIAMOND,425,0
17,Nwabugwu,,Spain,Female,39.0,5,165272.13,1,Yes,No,14109.85,Yes,3,SILVER,317,1
18,Cheng,704.0,Spain,Male,33.0,3,0.0,2,Yes,No,73018.74,No,4,GOLD,697,0
19,Davis,635.0,Germany,Male,53.0,8,117005.55,1,No,Yes,123646.57,Yes,3,SILVER,882,1
20,Ferri,583.0,Germany,Male,,8,149995.72,2,Yes,No,42143.55,No,1,PLATINUM,540,0
21,Wallace,701.0,Spain,Female,30.0,2,0.0,2,Yes,No,,No,1,DIAMOND,528,0
22,Li Fonti,654.0,France,Male,36.0,2,112262.84,1,Yes,No,12873.39,No,1,DIAMOND,883,0
23,Pai,636.0,France,Female,35.0,2,0.0,2,Yes,Yes,23129.46,No,5,DIAMOND,798,0
24,Fairley,611.0,France,Female,40.0,2,125879.29,1,Yes,No,93203.43,No,4,PLATINUM,319,0
25,Ikechukwu,791.0,Germany,Female,42.0,10,113657.41,2,No,Yes,139946.68,Yes,1,SILVER,634,1
26,Chung,602.0,Germany,Male,32.0,7,184715.86,2,Yes,No,113781.99,No,5,GOLD,879,0
27,Moss,850.0,France,Male,37.0,4,126872.6,1,Yes,No,197266.58,No,1,DIAMOND,951,0
28,She,746.0,France,Female,21.0,8,166883.07,2,No,Yes,194563.65,No,3,GOLD,261,0
29,Marian,721.0,Spain,Male,57.0,1,0.0,1,Yes,Yes,195940.96,No,4,PLATINUM,226,0
30,Brown,463.0,Spain,Female,35.0,2,0.0,2,Yes,Yes,,No,2,DIAMOND,803,0
31,Clayton,602.0,France,Male,35.0,8,0.0,1,Yes,Yes,22499.29,No,2,DIAMOND,615,0
32,She,528.0,France,Male,30.0,2,128262.72,2,Yes,No,50771.16,No,2,PLATINUM,791,0
33,Brookes,775.0,France,Female,30.0,10,191091.74,2,Yes,Yes,,No,5,SILVER,361,0
34,Avdeyeva,775.0,France,Female,27.0,4,152309.37,1,Yes,No,104112.0,No,2,GOLD,591,0
35,Fleming,,Spain,Male,35.0,9,0.0,2,No,No,143774.06,No,5,PLATINUM,590,0
36,Ugochukwu,700.0,France,Male,38.0,9,65962.63,1,Yes,Yes,100950.48,No,2,PLATINUM,419,0
37,Galloway,655.0,France,Female,60.0,3,0.0,2,Yes,Yes,86981.45,No,1,PLATINUM,947,0
38,Abdulov,562.0,Germany,Female,31.0,9,117153.0,1,Yes,Yes,108675.01,No,4,PLATINUM,759,0
